earliestTime,eventCount,host,hostCount,id,latestTime,modTime,"orig_index",path,rawSize,sizeOnDiskMB,sourceCount,sourcetypeCount,state
"07/04/2013:19:15:40",485090,"mon-prod-logidx-2",855,217,"07/04/2013:20:34:39","07/05/2013:08:15:38","_internal","/data/cold/_internaldb/colddb/rb_1372988079_1372983340_217_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",107541450,"53.406250",20,,cold
"07/03/2013:17:32:45",550390,"mon-prod-logidx-2",850,217,"07/03/2013:18:33:20","07/03/2013:20:49:09","_internal","/data/hot/_internaldb/db/db_1372894400_1372890765_217_3516763C-B78A-4885-8543-C9A1383A5392",138460633,"69.851562",17,,warm
"07/03/2013:20:24:46",365934,"mon-prod-logidx-2",853,216,"07/03/2013:20:51:12","07/03/2013:21:26:40","_internal","/data/cold/_internaldb/colddb/rb_1372902672_1372901086_216_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",87247454,"43.074219",14,,cold
"07/03/2013:13:58:22",3166,"mon-prod-logidx-2",2,216,"07/03/2013:13:59:54","07/03/2013:15:45:08","_internal","/data/cold/_internaldb/colddb/rb_1372877994_1372877902_216_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",1168361,"0.906250",1,,cold
"07/04/2013:17:56:40",462198,"mon-prod-logidx-2",858,216,"07/04/2013:19:15:39","07/05/2013:06:55:37","_internal","/data/cold/_internaldb/colddb/rb_1372983339_1372978600_216_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",102108518,"51.578125",19,,cold
"07/03/2013:16:32:35",601009,"mon-prod-logidx-2",846,216,"07/03/2013:17:32:44","07/03/2013:20:52:30","_internal","/data/hot/_internaldb/db/db_1372890764_1372887155_216_3516763C-B78A-4885-8543-C9A1383A5392",157982704,"76.687500",16,,warm
"07/03/2013:19:24:46",871061,"mon-prod-logidx-2",858,215,"07/03/2013:20:24:45","07/03/2013:21:26:51","_internal","/data/cold/_internaldb/colddb/rb_1372901085_1372897486_215_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",214897274,"93.269531",13,,cold
"07/03/2013:15:18:34",313770,"mon-prod-logidx-2",847,215,"07/03/2013:15:45:02","07/03/2013:15:45:25","_internal","/data/cold/_internaldb/colddb/rb_1372884302_1372882714_215_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",77912640,"43.539062",16,,cold
"07/04/2013:16:35:39",456788,"mon-prod-logidx-2",854,215,"07/04/2013:17:56:39","07/05/2013:05:36:18","_internal","/data/cold/_internaldb/colddb/rb_1372978599_1372973739_215_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",100840619,"51.539062",16,,cold
"07/03/2013:10:52:48",460991,"mon-prod-logidx-2",866,215,"07/03/2013:16:32:34","07/03/2013:18:30:17","_internal","/data/hot/_internaldb/db/db_1372887154_1372866768_215_3516763C-B78A-4885-8543-C9A1383A5392",134165903,"79.398438",19,,warm
"07/03/2013:15:27:08",631456,"mon-prod-logidx-2",862,214,"07/03/2013:19:24:45","07/03/2013:20:51:50","_internal","/data/cold/_internaldb/colddb/rb_1372897485_1372883228_214_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",179721162,"77.433594",14,,cold
"07/03/2013:14:18:33",621614,"mon-prod-logidx-2",849,214,"07/03/2013:15:18:33","07/03/2013:15:45:25","_internal","/data/cold/_internaldb/colddb/rb_1372882713_1372879113_214_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",162974136,"82.687500",20,,cold
"07/04/2013:15:20:09",450209,"mon-prod-logidx-2",868,214,"07/04/2013:16:35:38","07/05/2013:04:20:20","_internal","/data/cold/_internaldb/colddb/rb_1372973738_1372969209_214_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",100612282,"54.476562",19,,cold
"07/03/2013:13:46:06",1775,"mon-prod-logidx-2",2,214,"07/03/2013:13:54:31","07/03/2013:16:02:42","_internal","/data/hot/_internaldb/db/db_1372877671_1372877166_214_3516763C-B78A-4885-8543-C9A1383A5392",651926,"0.500000",1,,warm
"07/03/2013:15:04:55",18379,"mon-prod-logidx-2",6,213,"07/03/2013:16:25:43","07/03/2013:19:00:28","_internal","/data/cold/_internaldb/colddb/rb_1372886743_1372881895_213_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",6614140,"6.074219",1,,cold
"07/03/2013:13:18:33",615959,"mon-prod-logidx-2",853,213,"07/03/2013:14:18:32","07/03/2013:15:41:05","_internal","/data/cold/_internaldb/colddb/rb_1372879112_1372875513_213_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",159370172,"86.664062",24,,cold
"07/03/2013:15:23:25",296950,"mon-prod-logidx-2",848,213,"07/03/2013:15:50:58","07/03/2013:16:03:02","_internal","/data/hot/_internaldb/db/db_1372884658_1372883005_213_3516763C-B78A-4885-8543-C9A1383A5392",73811490,"41.972656",16,,warm
